t,shock,change_0,change_1,change_2
36.0204087151393,14019849.08227316,12789469.717085214,14030641.883722177,14732173.977908285
36.67532523723274,13944299.47213004,13005325.746065557,13922713.869232006,14678209.970663201
37.33024175932618,13857957.060537905,13167217.767800812,13814785.854741836,13976677.87647709
37.98515828141962,13285938.58374,13275145.782290982,13491001.811271323,13814785.854741836
38.640074803513066,13361488.19388312,13329109.789536068,13544965.818516409,13922713.869232006
39.2949913256065,13393866.59823017,13383073.796781152,13598929.825761495,13976677.87647709
39.94990784769995,13415452.201128203,13329109.789536068,13652893.83300658,14408389.934437774
40.60482436979339,13437037.804026239,13329109.789536068,13706857.840251666,14408389.934437774
41.25974089188683,13426245.002577221,13221181.775045898,13706857.840251666,14732173.977908285
41.91465741398027,13480209.009822307,13221181.775045898,13760821.84749675,14786137.985153371
42.569573936073716,13534173.017067391,13167217.767800812,13544965.818516409,13760821.84749675
43.22449045816715,13566551.421414442,13113253.760555727,13544965.818516409,13760821.84749675
43.8794069802606,13631308.230108546,13059289.753310641,15001994.014133712,16459022.209751016
44.53432350235404,13620515.428659528,12843433.7243303,13059289.753310641,15055958.021378797
45.18924002444748,13631308.230108546,12789469.717085214,13059289.753310641,15109922.028623883
45.84415654654092,13620515.428659528,10253161.376566205,12951361.73882047,15163886.035868967
46.49907306863437,12800262.518534232,10469017.405546548,12843433.7243303,15217850.043114053
47.153989590727804,12821848.121432265,10738837.441771973,12843433.7243303,15271814.05035914
47.80890611282125,12767884.114187181,10954693.470752316,12789469.717085214,15433706.072094394
48.46382263491469,12735505.70984013,11170549.499732656,12735505.70984013,15487670.07933948
49.11873915700813,11656225.564938424,11656225.564938424,13059289.753310641,15487670.07933948
49.77365567910157,11677811.167836457,11656225.564938424,13544965.818516409,15541634.086584564
50.42857220119502,12390136.063471584,11656225.564938424,11926045.601163851,15595598.09382965
51.083488723288454,11656225.564938424,11656225.564938424,12519649.68085979,15649562.101074735
51.7384052453819,11677811.167836457,11656225.564938424,12519649.68085979,15595598.09382965
52.39332176747534,11699396.770734493,11710189.572183508,12303793.651879447,15433706.072094394
53.04823828956878,11720982.373632526,11656225.564938424,12357757.659124533,15325778.057604223
53.70315481166222,11667018.36638744,11656225.564938424,12357757.659124533,15109922.028623883
54.35807133375567,11645432.763489407,11602261.557693338,12411721.666369617,14948030.006888626
55.012987855849104,11602261.557693338,11548297.550448254,12411721.666369617,13868749.86198692
55.66790437794255,11569883.153346287,11548297.550448254,12411721.666369617,13922713.869232006
56.32282090003599,11505126.344652185,11494333.543203168,12411721.666369617,13922713.869232006
56.97773742212943,11893667.196816798,11440369.535958083,12465685.673614703,13922713.869232006
57.632653944222874,11343234.322916929,11386405.528712997,12465685.673614703,13814785.854741836
58.28757046631632,11407991.13161103,11386405.528712997,11656225.564938424,12465685.673614703
58.942486988409755,11364819.925814964,8580277.151968561,11386405.528712997,12465685.673614703
59.5974035105032,11667018.36638744,8796133.180948904,11332441.521467911,11656225.564938424
60.25232003259664,11300063.11712086,9011989.209929245,11278477.514222827,11710189.572183508
60.90723655469008,12811055.31998325,9173881.2316645,11278477.514222827,11710189.572183508
61.562153076783524,10242368.57511719,9335773.253399756,11332441.521467911,11764153.579428595
62.21706959887697,10263954.178015223,10253161.376566205,11764153.579428595,12951361.73882047
62.871986120970405,10242368.57511719,10199197.36932112,11818117.586673679,12951361.73882047
63.52690264306385,10209990.170770139,9983341.34034078,11818117.586673679,12951361.73882047
64.1818191651573,10156026.163525052,9983341.34034078,11818117.586673679,12951361.73882047
64.83673568725074,10123647.759178001,10037305.347585864,10576945.420036718,16081274.159035418
65.49165220934418,10102062.156279968,10091269.35483095,10576945.420036718,11818117.586673679
66.14656873143761,10112854.957728984,10091269.35483095,10630909.427281803,11872081.593918765
66.80148525353106,10102062.156279968,10037305.347585864,10792801.449017059,11872081.593918765
67.4564017756245,10145233.362076035,9983341.34034078,10846765.456262145,11872081.593918765
68.11131829771794,10134440.560627019,9983341.34034078,10792801.449017059,11872081.593918765
68.76623481981139,9983341.34034078,9983341.34034078,10792801.449017059,11926045.601163851
69.42115134190483,9972548.538891762,9929377.333095694,10792801.449017059,11926045.601163851
70.07606786399826,9929377.333095694,9929377.333095694,10846765.456262145,11980009.608408935
70.7309843860917,9961755.737442745,9875413.32585061,10900729.46350723,11980009.608408935
71.38590090818515,9961755.737442745,7500997.007066856,9875413.32585061,11008657.4779974
72.0408174302786,10328710.986709325,7716853.036047197,9821449.318605524,11170549.499732656
72.69573395237204,10339503.788158342,7878745.0577824535,9767485.31136044,13275145.782290982
73.35065047446548,10296332.582362274,8040637.079517709,9119917.224419415,10199197.36932112
74.00556699655891,9087538.820072364,8202529.101252965,9065953.217174329,10199197.36932112
74.66048351865236,9022782.011378262,8364421.12298822,9011989.209929245,10091269.35483095
75.3154000407458,8936439.599786125,8472349.13747839,8850097.188193988,10145233.362076035
75.97031656283924,8850097.188193988,8688205.166458733,10253161.376566205,10738837.441771973
76.62523308493269,8774547.578050869,8742169.173703818,8796133.180948904,8904061.195439074
77.28014960702613,8752961.975152835,8688205.166458733,8742169.173703818,9011989.209929245
77.93506612911956,8752961.975152835,8742169.173703818,8850097.188193988,8958025.202684158
78.589982651213,8720583.570805784,8688205.166458733,12465685.673614703,13652893.83300658
79.24489917330645,8904061.195439074,8634241.159213647,12519649.68085979,13706857.840251666
79.8998156953999,8698997.96790775,8580277.151968561,12573613.688104874,13652893.83300658
80.55473221749334,8904061.195439074,8580277.151968561,12573613.688104874,13652893.83300658
81.20964873958678,8968818.004133176,8526313.144723477,10469017.405546548,13598929.825761495
81.86456526168021,8914853.99688809,6421716.86216515,8580277.151968561,13598929.825761495
82.51948178377366,9001196.408480227,6583608.883900406,8580277.151968561,13598929.825761495
83.1743983058671,6788672.11143173,6799464.912880748,8580277.151968561,8958025.202684158
83.82931482796054,6939771.331717969,6961356.934616003,8580277.151968561,9011989.209929245
84.48423135005399,7090870.552004208,7123248.956351259,9011989.209929245,13598929.825761495
85.13914787214743,7220384.1693924125,7285140.978086514,9065953.217174329,13706857.840251666
85.79406439424088,7652096.227353095,7393068.992576686,9767485.31136044,13706857.840251666
86.4489809163343,7587339.418658992,7500997.007066856,7608925.021557027,7824781.050537367
87.10389743842775,7565753.815760958,7554961.014311941,7878745.0577824535,10630909.427281803
87.7588139605212,7576546.617209976,7554961.014311941,7932709.065027539,13868749.86198692
88.41373048261464,7608925.021557027,7554961.014311941,12789469.717085214,13868749.86198692
89.06864700470808,7608925.021557027,6259824.840429895,7554961.014311941,13922713.869232006
89.72356352680153,7608925.021557027,6475680.869410235,7554961.014311941,13922713.869232006
90.37848004889496,7630510.624455061,7177212.963596344,7608925.021557027,7986673.072272624
91.0333965709884,7231176.970841429,7177212.963596344,9173881.2316645,10037305.347585864
91.68831309308185,7220384.1693924125,7177212.963596344,7662889.028802112,7986673.072272624
92.34322961517529,7166420.162147327,7123248.956351259,7716853.036047197,8040637.079517709
92.99814613726873,7155627.36069831,7123248.956351259,7770817.043292282,8094601.086762794
93.65306265936218,7155627.36069831,7123248.956351259,7824781.050537367,8202529.101252965
94.30797918145561,7144834.559249293,7069284.949106174,7770817.043292282,8634241.159213647
94.96289570354905,7921916.263578521,7015320.941861088,7824781.050537367,8688205.166458733
