t,start_STR,end_STR,shock
34.710575670952416,12888645.630272575,14279877.376932994,14093981.189641265
35.36549219304585,13040767.271700563,14207665.904373439,13980840.382243859
36.0204087151393,13169528.178413246,14134353.850087173,13873948.03884325
36.67532523723274,13269105.918049967,14086142.159697143,13777422.465255512
37.33024175932618,13341879.16724587,14048705.519437958,13696745.268532384
37.98515828141962,13384972.21245698,14031576.387168368,13626378.037403977
38.640074803513066,13403071.401680892,14021530.030849697,13571269.839376843
39.2949913256065,13397241.81400797,13995542.990811918,13541567.327918513
39.94990784769995,13373483.394980595,14024212.25942796,13572538.821974559
40.60482436979339,13335523.921415038,14244879.785400204,13601919.79792233
41.25974089188683,13267919.746501032,14274543.12783392,13626493.716908928
41.91465741398027,13196978.323770551,14279425.63009851,13649789.540987086
42.56957393607372,12824015.97364932,14277882.155184576,13669229.778758131
43.22449045816715,12488970.439145038,14254220.537827425,13593877.977486823
43.8794069802606,12185344.737806471,14226902.14892669,13512220.90800056
44.53432350235404,11912961.3564519,14272151.148716059,13418663.354811303
45.18924002444748,11671820.295081332,14325832.024637472,13317068.004753437
45.84415654654092,11488548.530953845,14190461.362019362,13101466.58886306
46.49907306863437,11337300.144809954,14196266.932828933,12864073.654783841
47.15398959072781,11196560.539024318,14180770.921831235,12690301.445035672
47.80890611282125,11272742.041309386,14170014.512785655,12476851.488907829
48.46382263491469,11421703.948102629,14171719.529097328,12305280.442613078
49.11873915700813,11545671.998908676,14157093.332690096,12167493.705064658
49.77365567910157,11640811.909002217,14127058.992108935,12035074.96613167
50.42857220119502,11708295.265382651,14085859.072397131,11904949.6975066
51.08348872328845,11730761.278877052,14025487.729058785,11839069.999612255
51.7384052453819,11718541.216661947,13906146.506750645,11831414.62532445
52.39332176747534,11702912.90135768,13778284.651719593,11780474.436804274
53.04823828956878,11684692.893600196,13689724.215122959,11711207.787402574
53.70315481166222,11660224.421845911,13580075.212537125,11706300.317167908
54.35807133375567,11627412.830550445,13479816.657264663,11707435.395639237
55.012987855849104,11587642.722531272,13354564.246005008,11663382.718570078
55.66790437794255,11469447.290825002,13137821.54088312,11623370.241517032
56.32282090003599,11103230.441609405,12909185.452585507,11592432.23831388
56.97773742212943,10768255.91237781,12655520.005664352,11585778.038371017
57.63265394422288,10462819.576585623,12455392.534352135,11571114.44366862
58.28757046631632,10176732.177601714,12253046.148268333,11689891.05793424
58.94248698840976,9920609.00369336,12061741.08208796,11532797.986741161
59.5974035105032,9775041.039364746,11959654.14104371,11334983.391659854
60.25232003259664,9629473.075036125,11867152.911812728,11199795.447091922
60.90723655469008,9458485.223084169,11901751.120698461,11053168.553093487
61.56215307678352,9604464.908424387,11954455.674120376,10905064.74942308
62.21706959887697,9753178.296763215,12157513.892465271,10720563.642971316
62.871986120970405,9883146.293111641,12155295.867460772,10568000.70817592
63.52690264306385,9994368.897469671,12123379.887153305,10272085.228344863
64.1818191651573,10081733.730203558,12095156.181025764,10186913.397860399
64.83673568725074,10076010.650439672,11997098.78920672,10169317.28539587
65.49165220934418,10045506.73050666,11870745.79622035,10153297.489985077
66.14656873143761,10034351.747381922,11744694.575642921,10128047.009124467
66.80148525353106,10027599.091164017,11619708.434155853,10101404.824919116
67.4564017756245,10014597.970949313,11430870.801201493,10075891.624549551
68.11131829771794,9991727.117830575,11343535.205558773,10053474.254069308
68.76623481981139,9814703.817699887,11305459.51784537,10033258.047042483
69.42115134190483,9515835.46963161,11204899.19016397,10034286.617604777
70.07606786399826,9245333.72800336,11155853.187819822,10057199.013210405
70.7309843860917,8997198.647272734,11084476.027214387,10076362.330417955
71.38590090818515,8767808.958532503,10879147.419677561,10046581.713159665
72.0408174302786,8559294.8199634,10666505.269053573,9933952.143725632
72.69573395237204,8372011.257928878,10443549.602571236,9815450.438240062
73.35065047446548,8202123.987703627,10240759.433533112,9689663.591776405
74.00556699655891,8118863.150161276,10108903.5319132,9551237.806773767
74.66048351865236,8259978.974322174,9915131.032506822,9397474.8828699
75.3154000407458,8372515.176224984,9702258.114746593,9204935.979549523
75.97031656283924,8471276.355225762,9456864.782093925,9011403.002411475
76.62523308493269,8545043.67823934,9865216.99510639,8829117.260467667
77.28014960702613,8593817.14526572,10282941.904114066,8804008.790152442
77.93506612911956,8617170.724668758,10710199.270980472,8762377.39288204
78.589982651213,8627743.354987437,11143847.11238907,8755254.55813942
79.24489917330645,8607393.189049223,11341136.152327841,8765904.343151327
79.8998156953999,8349530.385959946,11601371.366507087,8779905.57703425
80.55473221749334,8090105.466871462,11866630.203729218,8805438.067202173
81.20964873958678,7850278.003045674,11896719.577799076,8611422.254209826
81.86456526168021,7634343.81348038,11485120.653095193,8389785.390140727
82.51948178377366,7443403.479902273,11193236.618148152,8169795.848398048
83.1743983058671,7277457.002311368,10981020.49916031,7977682.97671382
83.82931482796054,7127699.726893986,10800188.710701847,7815505.927996074
84.48423135005399,6994593.187922622,10406589.622625096,7652157.29227893
85.13914787214743,7024727.770867641,10064930.891521744,7485528.2129634665
85.79406439424088,7147559.737310633,9954021.545345645,7315334.668958917
86.4489809163343,7248238.058674062,10229664.903698815,7282948.158192874
87.10389743842775,7251248.627451158,10623869.316127623,7370205.531910998
87.7588139605212,7167064.721363826,10720845.657072317,7439967.206438085
88.41373048261464,7113093.558806471,10501972.793769702,7494363.3399548605
89.06864700470808,7092636.884959221,10133562.82618005,7503912.543240061
89.72356352680153,7059683.283118374,9965263.468351534,7452752.2383745415
90.37848004889496,7014232.75328393,9923992.54336704,7404772.969725576
91.0333965709884,6959622.543272358,9707551.610654093,7353378.347460176
91.68831309308185,6905012.333260786,9286899.513682105,7299200.318505293
92.34322961517528,6877348.624235407,8705739.997792345,7241741.845952091
92.99814613726872,6967553.667876931,8399761.416216165,7196510.48135626
93.65306265936218,7020445.440719384,8137131.553617782,7231678.38702834
94.3079791814556,6990971.097240394,8195232.507764204,7264687.732410615
94.96289570354904,6949177.338949529,8184547.103991308,7253041.8617975805
95.6178122256425,6901064.111389172,8426640.470998034,7337451.924080801
96.27272874773594,6846524.906650292,8668733.838004755,7286916.465614961
96.92764526982938,6785737.237914612,8852141.347132446,7232418.912932971
97.58256179192284,6718701.10518213,9592798.23633835,7169493.034382567
98.23747831401626,6651096.930268127,10375774.268067993,7102363.643688866
98.8923948361097,6583492.7553541185,11186992.647010462,6947833.862839934
99.54731135820316,6515888.580440109,11988518.806230653,6767969.40069488
100.2022278802966,6453219.27197812,12677537.110872079,6655091.312806431
100.85714440239003,6312444.163556141,12877613.10776394,6486289.472146628
101.51206092448348,6207455.712570373,12937560.199000327,6375300.124511754
102.16697744657692,6137543.866293911,13016075.169045385,6301730.555584987
102.82189396867037,6069939.691379904,12650434.407090673,6229467.483675731
103.4768104907638,5998643.2422859715,11984867.373289607,6157033.999112018
104.13172701285724,5927985.840646255,11386648.840635847,6085672.694165937
104.78664353495068,5860381.665732248,10860394.15185432,6017393.01805464
105.44156005704411,5795724.209634914,10188809.421192702,5952131.066032708
106.09647657913756,5780486.423330444,9580348.377953276,5893486.805425568
106.751393101231,5795532.385828648,9460208.346327357,5855838.803953126
107.40630962332445,5751714.977266094,9595367.77266158,5831326.777928502
108.06122614541788,5705554.39470474,9795940.80646229,5783461.117715841
108.71614266751132,5665642.276140184,10077175.830039874,5740253.403391702
109.37105918960478,5629067.405392099,10327239.538906151,5698756.916139413
110.0259757116982,5587451.160282963,10437351.855298653,5652985.911471135
110.68089223379164,5517077.779734016,10571446.202542512,5606348.642476025
111.3358087558851,5283392.271995985,10796143.277739968,5560677.045189512
111.99072527797854,5074700.620245154,10848137.778434971,5510801.935759697
112.645641800072,4891002.824481521,10496502.80651854,5422456.169585953
113.30055832216544,4732440.895250468,10166861.71781812,5374327.789864335
113.95547484425886,4606186.36509378,9882450.987821817,5243492.468512356
114.6103913663523,4492535.270839724,9660418.389884459,5125871.228408154
115.26530788844576,4385416.66167323,9438243.781401714,5020803.7205157
115.9202244105392,4284546.516503534,9210086.978694763,4921374.031274906
116.57514093263264,4343012.203252223,9153372.406900004,4821475.707234355
117.23005745472608,4410460.056996312,9272608.900833292,4723459.022920108
117.88497397681952,4457884.423841566,9337526.36115804,4631918.019475273
118.53989049891295,4481841.548062476,9384408.482219297,4542208.952065865
119.1948070210064,4476331.484116663,9408000.87383794,4502601.205067153
119.84972354309984,4452253.5413621785,9379315.633437911,4481433.52738627
120.50464006519329,4419654.965884785,9335009.233045878,4455607.903816864
121.15955658728672,4384535.703226866,9296347.751832774,4421559.869669853
121.81447310938016,4349416.440568946,9262550.131798996,4447937.322582795
122.4693896314736,4314297.177911027,9220462.646178557,4530401.840394284
123.12430615356703,4231462.372004825,9152032.204389794,4615791.775440636
123.77922267566048,4100592.4991232217,9055093.145615632,4616280.705930484
124.43413919775394,3985982.8336878344,9032567.61262153,4501045.242988692
125.08905571984738,3883870.09624605,9151111.805146083,4397937.480622509
125.7439722419408,3792266.1391625223,9181751.470079307,4298919.621963326
126.39888876403424,3705171.016894861,9044055.384780563,4208791.623445038
127.0538052861277,3618075.8946271986,8953045.26627609,4100741.8940995676
127.70872180822114,3530980.772359539,8865177.13108819,3897601.9035664406
128.3636383303146,3459790.8311746414,8791297.034620397,3682845.4504210874
129.01855485240802,3474410.762036699,8838108.150408966,3497747.8996787155
129.67347137450147,3470782.3378171944,8864895.7792987,3498300.7349139797
130.3283878965949,3454905.5040585087,8685182.323885126,3498903.27384012
130.98330441868836,3432780.206303024,8517965.79646514,3711953.588657454
